backend,size,op,field,method,median_ms,p95_ms,cleanup_ms,seed_ms_dense,seed_ms_sparse
sqlite,1000,filter,text,legacy,0.9567294999897058,1.035541000021567,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,text,legacyJsonb,0.22404149999033507,0.24016700001538993,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,text,v2,0.08300000000360797,0.09070799998767143,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,number,legacy,0.28927100001396866,0.30533300000001873,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,number,legacyJsonb,0.05470799999329756,0.058375000008936695,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,number,v2,0.031583500017973165,0.033833999992793906,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,option,legacy,0.3051039999917293,0.33016600002611085,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,option,legacyJsonb,0.057521000002225264,0.0581669999917267,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,option,v2,0.02758299999072733,0.02962499999625834,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,date,legacy,1.2315205000135165,1.3010840000049484,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,date,legacyJsonb,0.22370799999293922,0.24083300002075703,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,date,v2,0.07964550000849613,0.08349999998813473,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,date,indexed,0.0038335000027700517,0.005750000013904355,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,text_sparse,legacy,1.3338960000055522,1.425792000020465,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,text_sparse,legacyJsonb,0.32872899998892535,0.3839999999968313,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,text_sparse,v2,0.13408349998655922,0.18449999998892963,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,number_sparse,legacy,1.1353125000113096,1.2846250000109194,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,number_sparse,legacyJsonb,0.25981200001012894,0.270541999981333,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,number_sparse,v2,0.08312500001750323,0.10637500000143518,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,option_sparse,legacy,0.7073539999851164,0.7427500000005693,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,option_sparse,legacyJsonb,0.173145499999805,0.17962500001544868,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,option_sparse,v2,0.04906249999692136,0.059958000008464296,174854.219,85.19804099998396,113.79466599998977
sqlite,1000,filter,date_sparse,legacy,1.310437499995487,1.4289160000089396,174854.219,85.19804099998396,113.79466599998977
